Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,Fire Alarm
24.925,55.32,13,400,12735,19756,939.836,0.1,0.13,0.66,0.133,0.021,0
24.932,55.48,23,400,12736,19754,939.842,0.11,0.13,0.68,0.1369999999999999,0.021,0
24.94,55.67,11,400,12734,19755,939.85,0.11,0.13,0.68,0.1369999999999999,0.021,0
24.948,55.85,11,400,12738,19757,939.832,0.1,0.13,0.66,0.132,0.021,0
24.48,56.0,11,400,12741,19757,939.83,0.1,0.12,0.64,0.129,0.02,0
24.963,56.15,8,400,12740,19749,939.835,0.19,0.23,1.23,0.241,0.035,0
24.971,56.29,12,400,12737,19750,939.842,0.25,0.31,1.65,0.3229999999999999,0.047,0
24.979,56.38,18,400,12738,19755,939.839,0.28,0.33,1.8,0.349,0.049,0
24.986,56.46,13,400,12747,19764,939.824,0.29,0.35,1.9,0.369,0.051,0
24.994,56.61,16,400,12745,19760,939.83,0.3,0.36,1.95,0.377,0.052,0
25.001,56.66,14,400,12743,19754,939.834,0.3,0.36,1.97,0.381,0.052,0
25.009,56.76,6,400,12741,19756,939.815,0.3,0.36,1.95,0.377,0.052,0
25.016,56.85,8,400,12745,19758,939.818,0.29,0.34,1.87,0.361,0.05,0
25.024,56.91,4,400,12744,19766,939.824,0.29,0.34,1.86,0.356,0.047,0
25.032,57.0,7,400,12743,19752,939.841,0.28,0.33,1.8,0.3429999999999999,0.045,0
25.039,57.22,0,400,12759,19771,939.833,0.28,0.32,1.8,0.342,0.044,0
25.047,56.93,0,400,12777,19795,939.818,0.27,0.32,1.8,0.3389999999999999,0.042,0
25.054,55.72,0,400,12771,19795,939.821,0.27,0.32,1.77,0.3339999999999999,0.042,0
25.062,55.07,0,400,12766,19779,939.817,0.27,0.32,1.78,0.3339999999999999,0.0409999999999999,0
25.069000000000003,54.47,0,400,12770,19790,939.818,0.27,0.31,1.75,0.33,0.0409999999999999,0
25.077,53.91,9,400,12768,19784,939.841,0.25,0.3,1.67,0.314,0.039,0
25.084,53.42,5,400,12773,19784,939.839,0.25,0.29,1.62,0.304,0.038,0
25.091,52.94,0,400,12774,19797,939.843,0.23,0.27,1.49,0.28,0.035,0
25.099,52.56,7,400,12770,19784,939.835,0.22,0.25,1.42,0.268,0.033,0
25.106,52.26,6,400,12764,19784,939.829,0.2,0.23,1.29,0.242,0.03,0
25.114,51.95,9,400,12768,19786,939.829,0.19,0.22,1.22,0.2289999999999999,0.0279999999999999,0
25.121,51.68,13,400,12761,19780,939.82,0.17,0.19,1.08,0.204,0.025,0
25.128,51.44,10,400,12766,19776,939.817,0.16,0.18,1.02,0.191,0.024,0
25.136,51.23,13,400,12766,19781,939.818,0.15,0.18,0.98,0.184,0.023,0
25.143,51.03,4,400,12772,19778,939.835,0.15,0.17,0.96,0.179,0.022,0
25.15,50.85,11,400,12766,19774,939.838,0.14,0.16,0.89,0.1669999999999999,0.02,0
25.158,50.57,16,400,12764,19777,939.824,0.12,0.15,0.82,0.153,0.019,0
25.165,50.45,12,400,12769,19779,939.827,0.11,0.13,0.74,0.138,0.017,0
25.172,50.31,5,400,12769,19775,939.831,0.11,0.12,0.7,0.131,0.016,0
25.179,50.19,9,400,12772,19786,939.834,0.11,0.13,0.71,0.132,0.016,0
25.187,50.11,4,400,12769,19782,939.834,0.11,0.12,0.7,0.131,0.016,0
25.194000000000003,50.02,8,400,12777,19790,939.828,0.1,0.12,0.67,0.126,0.015,0
25.201,49.93,11,400,12773,19779,939.828,0.1,0.12,0.65,0.122,0.015,0
25.208,49.84,0,400,12771,19783,939.83,0.13,0.15,0.86,0.159,0.019,0
25.215,49.77,11,400,12772,19778,939.825,0.15,0.17,0.97,0.179,0.021,0
25.223000000000003,49.64,9,400,12779,19792,939.812,0.17,0.19,1.1,0.204,0.024,0
25.265,51.46,37,400,12757,19759,939.835,0.27,0.28,1.89,0.294,0.0069999999999999,0
25.272,51.99,37,400,12754,19756,939.828,0.27,0.28,1.89,0.294,0.0069999999999999,0
25.279,52.52,32,400,12760,19763,939.834,0.28,0.29,1.93,1.905,0.0069999999999999,0
25.286,52.98,29,400,12764,19758,939.83,0.28,0.29,1.91,0.298,0.0069999999999999,0
25.363000000000003,56.01,8,400,12776,19779,939.835,0.28,0.31,1.88,0.326,0.027,0
25.37,56.16,12,400,12780,19771,939.844,0.29,0.32,1.93,0.336,0.0279999999999999,0
25.376,56.28,8,400,12783,19782,939.837,0.29,0.32,1.93,0.335,0.0279999999999999,0
25.383000000000003,56.42,12,400,12781,19777,939.842,0.28,0.31,1.86,0.324,0.027,0
25.39,56.56,18,400,12782,19771,939.845,0.27,0.3,1.81,0.315,0.026,0
25.397,56.64,8,400,12789,19783,939.838,0.29,0.32,1.92,0.332,0.027,0
25.404,56.76,0,400,12786,19790,939.827,0.29,0.32,1.95,0.3379999999999999,0.027,0
25.41,56.86,14,400,12781,19777,939.816,0.29,0.32,1.95,0.337,0.027,0
25.417,56.96,17,400,12782,19776,939.823,0.29,0.33,1.97,0.34,0.027,0
25.424,57.01,10,400,12788,19790,939.824,0.3,0.33,1.99,0.344,0.0279999999999999,0
25.431,57.09,15,400,12788,19782,939.823,0.31,0.35,2.09,0.36,0.0279999999999999,0
25.437,57.14,7,400,12791,19786,939.827,0.35,0.38,2.32,0.3989999999999999,0.031,0
25.444000000000003,57.39,0,400,12810,19806,939.829,0.36,0.39,2.4,0.412,0.032,0
25.451,57.16,0,400,12809,19809,939.828,0.38,0.42,2.53,0.433,0.033,0
25.457,56.51,0,400,12813,19817,939.827,0.38,0.42,2.54,0.435,0.033,0
25.464,55.84,0,400,12813,19807,939.831,0.37,0.41,2.48,0.426,0.033,0
25.471,55.2,0,400,12809,19808,939.825,0.36,0.4,2.42,0.416,0.032,0
25.477,54.57,3,400,12808,19804,939.83,0.34,0.37,2.27,0.39,0.03,0
25.484,54.0,2,400,12812,19807,939.825,0.33,0.36,2.19,0.375,0.0289999999999999,0
25.491,53.51,5,400,12816,19809,939.816,0.3,0.33,2.0,0.3429999999999999,0.026,0
25.497,53.1,8,400,12805,19804,939.817,0.28,0.31,1.9,0.326,0.025,0
25.504,52.7,12,400,12808,19801,939.82,0.27,0.3,1.8,0.309,0.024,0
25.51,52.38,7,400,12807,19798,939.829,0.24,0.26,1.61,0.276,0.021,0
25.517,52.07,11,400,12809,19805,939.85,0.23,0.25,1.51,0.26,0.02,0
25.575,50.49,3,400,12813,19809,939.825,0.15,0.16,0.98,0.168,0.013,0
25.582,50.39,12,400,12812,19803,939.818,0.14,0.16,0.96,0.166,0.013,0
25.588,50.23,14,400,12814,19808,939.821,0.14,0.15,0.92,0.158,0.012,0
25.749,56.39,16,400,12815,19798,939.835,0.12,0.13,0.79,0.133,0.009,0
25.755,56.55,16,400,12825,19807,939.835,0.12,0.13,0.79,0.134,0.009,0
25.761,56.65,10,400,12823,19800,939.835,0.11,0.12,0.77,0.13,0.009,0
25.767,56.75,1,400,12825,19811,939.835,0.11,0.12,0.75,0.127,0.009,0
25.773000000000003,56.93,8,400,12820,19810,939.825,0.25,0.27,1.71,0.285,0.018,0
25.779,57.02,0,400,12822,19807,939.832,0.33,0.36,2.22,0.37,0.023,0
25.785,57.24,6,400,12825,19805,939.828,0.41,0.45,2.8,0.467,0.0279999999999999,0
25.791,57.44,0,400,12841,19838,939.83,0.43,0.46,2.89,0.482,0.0289999999999999,0
25.797,57.21,0,400,12853,19832,939.839,0.43,0.46,2.89,0.481,0.0289999999999999,0
25.803,56.63,0,400,12843,19826,939.839,0.41,0.45,2.79,0.465,0.0279999999999999,0
25.809,55.88,0,400,12849,19836,939.83,0.4,0.44,2.72,0.4529999999999999,0.027,0
25.815,55.23,2,400,12844,19827,939.83,0.37,0.41,2.53,0.422,0.026,0
25.82,54.63,2,400,12844,19826,939.838,0.36,0.39,2.43,0.405,0.025,0
25.826,54.06,0,400,12847,19835,939.844,0.33,0.35,2.21,0.368,0.022,0
25.832,53.56,4,400,12853,19840,939.843,0.31,0.34,2.1,0.349,0.021,0
25.838,53.13,9,400,12839,19824,939.832,0.29,0.32,1.98,0.3289999999999999,0.02,0
25.844,52.74,14,400,12840,19822,939.839,0.29,0.31,2.03,0.316,0.0069999999999999,0
25.85,52.4,16,400,12837,19814,939.832,0.29,0.3,2.0,0.312,0.0069999999999999,0
25.855,52.13,3,400,12849,19830,939.831,0.29,0.3,1.97,0.307,0.0069999999999999,0
25.861,51.84,0,400,12969,19830,939.827,0.28,0.31,1.92,0.321,0.02,0
25.867,51.64,2,400,12841,19819,939.827,0.28,0.3,1.88,0.315,0.02,0
25.873,51.42,11,400,12843,19813,939.843,0.27,0.3,1.84,0.308,0.019,0
25.878,51.06,13,400,12842,19818,939.837,0.24,0.27,1.65,0.276,0.017,0
25.884,50.93,8,400,12845,19824,939.833,0.22,0.24,1.5,0.252,0.016,0
25.89,50.78,14,400,12841,19814,939.823,0.21,0.23,1.43,0.239,0.015,0
25.94,49.94,3,400,12848,19822,939.835,0.17,0.19,1.17,0.195,0.012,0
25.946,49.85,0,400,12852,19824,939.834,0.18,0.2,1.24,0.207,0.013,0
25.951,49.83,11,400,12851,19829,939.824,0.19,0.2,1.27,0.212,0.013,0
25.973000000000003,52.62,39,400,12834,19797,939.856,0.19,0.21,1.3,0.217,0.0139999999999999,0
25.979,53.08,26,400,12841,19808,939.85,0.18,0.2,1.24,0.208,0.013,0
25.984,53.51,25,400,12839,19808,939.845,0.18,0.19,1.2,0.201,0.013,0
25.99,53.94,28,400,12842,19814,939.842,0.16,0.18,1.11,0.186,0.012,0
25.995,54.57,16,400,12852,19820,939.842,0.15,0.16,1.01,0.1689999999999999,0.011,0
26.001,54.85,11,400,12847,19818,939.843,0.13,0.15,0.91,0.152,0.01,0
26.006,55.12,17,400,12847,19813,939.828,0.13,0.14,0.86,0.144,0.009,0
26.011,55.39,15,400,12851,19829,939.832,0.11,0.12,0.76,0.127,0.008,0
26.017,55.63,18,400,12847,19819,939.836,0.11,0.11,0.71,0.12,0.008,0
26.033,56.16,3,400,12855,19824,939.836,0.12,0.13,0.8,0.133,0.008,0
26.054,56.7,11,400,12858,19827,939.84,0.17,0.18,1.13,0.1889999999999999,0.012,0
26.059,56.83,10,400,12854,19827,939.839,0.17,0.19,1.16,0.1939999999999999,0.012,0
26.201,50.52,8,400,12883,19840,939.813,0.27,0.28,1.88,0.293,0.0069999999999999,0
26.206,50.41,3,400,12889,19852,939.819,0.29,0.3,1.98,0.308,0.0069999999999999,0
26.211,50.32,10,400,12879,19843,939.813,0.29,0.3,1.98,0.309,0.0069999999999999,0
26.216,50.28,11,400,12880,19850,939.817,0.31,0.32,2.12,0.331,0.0069999999999999,0
26.22,50.17,10,400,12884,19843,939.818,0.31,0.32,2.14,0.3339999999999999,0.008,0
26.225,50.12,4,400,12881,19851,939.812,0.31,0.32,2.11,0.3289999999999999,0.0069999999999999,0
26.23,50.04,7,400,12886,19845,939.814,0.31,0.32,2.12,0.33,0.0069999999999999,0
26.235,49.99,1,400,12886,19845,939.805,0.3,0.31,2.07,0.3229999999999999,0.0069999999999999,0
26.24,49.93,0,400,12889,19856,939.802,0.3,0.31,2.08,0.324,0.0069999999999999,0
26.244,49.78,29,400,12868,19824,939.795,0.3,0.31,2.08,0.324,0.0069999999999999,0
26.249,50.02,34,400,12865,19817,939.798,0.31,0.32,2.12,0.33,0.0069999999999999,0
26.254,50.6,32,400,12868,19820,939.81,0.31,0.32,2.12,0.331,0.0069999999999999,0
26.259,51.19,24,400,12872,19825,939.81,0.3,0.32,2.09,0.326,0.0069999999999999,0
26.263,51.8,33,400,12868,19818,939.812,0.29,0.3,1.99,0.311,0.0069999999999999,0
26.268,52.39,29,400,12870,19825,939.81,0.28,0.29,1.93,0.3,0.0069999999999999,0
26.493,50.08,13,400,12920,19868,939.785,0.27,0.28,1.85,0.289,0.0069999999999999,0
26.497,50.0,7,400,12919,19871,939.778,0.27,0.28,1.85,0.288,0.0069999999999999,0
26.501,49.96,1,400,12925,19872,939.772,0.27,0.28,1.88,0.293,0.0069999999999999,0
26.505,49.8,21,400,12910,19855,939.766,0.27,0.28,1.86,0.29,0.0069999999999999,0
26.513,50.65,45,400,12892,19836,939.795,0.27,0.28,1.87,0.292,0.0069999999999999,0
26.517,51.26,26,400,12908,19845,939.8,0.27,0.28,1.88,0.293,0.0069999999999999,0
26.521,51.9,28,400,12903,19842,939.801,0.27,0.28,1.85,0.289,0.0069999999999999,0
26.525,52.43,28,400,12907,19839,939.783,0.27,0.28,1.85,0.289,0.0069999999999999,0
26.548,54.9,22,400,12910,19859,939.767,0.28,0.29,1.92,0.299,0.0069999999999999,0
26.552,55.13,16,400,12916,19862,939.76,0.3,0.31,2.08,0.325,0.0069999999999999,0
26.556,55.43,17,400,12920,19864,939.746,0.31,0.32,2.13,0.3329999999999999,0.008,0
26.559,55.66,4,400,12921,19858,939.745,0.31,0.32,2.15,0.336,0.008,0
26.563,55.88,11,400,12919,19857,939.742,0.31,0.32,2.13,0.332,0.0069999999999999,0
26.567,56.04,23,400,12916,19857,939.758,0.31,0.32,2.12,0.331,0.0069999999999999,0
26.571,56.24,4,400,12920,19874,939.76,0.3,0.32,2.09,0.326,0.0069999999999999,0
26.574,56.38,20,400,12922,19857,939.755,0.3,0.31,2.08,0.324,0.0069999999999999,0
26.578000000000003,56.54,13,400,12921,19856,939.741,0.3,0.31,2.04,0.318,0.0069999999999999,0
26.582,56.67,21,400,12924,19863,939.747,0.29,0.31,2.03,0.316,0.0069999999999999,0
26.585,56.79,6,400,12917,19860,939.745,0.29,0.3,1.99,0.31,0.0069999999999999,0
26.589,56.9,10,400,12921,19860,939.751,0.29,0.3,1.98,0.309,0.0069999999999999,0
26.593000000000004,56.99,4,400,12927,19870,939.748,0.29,0.3,2.0,0.312,0.0069999999999999,0
26.596,57.08,9,400,12923,19868,939.752,0.3,0.31,2.06,0.321,0.0069999999999999,0
26.6,57.17,11,400,12920,19856,939.753,0.3,1.86,2.05,0.32,0.0069999999999999,0
26.604,57.24,10,400,12932,19873,939.756,0.29,0.3,1.98,0.309,0.0069999999999999,0
26.607,57.33,11,400,12930,19867,939.767,0.28,0.29,1.92,1.905,0.0069999999999999,0
26.611,47.45,14,400,12921,19860,939.77,0.27,0.28,1.88,0.294,0.0069999999999999,0
26.683000000000003,50.76,0,400,12949,19885,939.75,0.27,0.28,1.87,0.291,0.0069999999999999,0
26.687,50.68,6,400,12947,19897,939.75,0.27,0.28,1.86,0.29,0.0069999999999999,0
26.728,51.38,30,400,12938,19878,939.76,0.27,0.28,1.88,0.293,0.0069999999999999,0
26.732,52.0,36,400,12935,19866,939.759,0.28,0.29,1.9,0.296,0.0069999999999999,0
26.735,52.56,16,400,12942,19881,939.754,0.27,0.28,1.88,0.293,0.0069999999999999,0
26.738000000000003,53.12,17,400,12948,19874,939.759,0.27,0.28,1.85,0.288,0.0069999999999999,0
26.925,56.87,12,400,12972,19899,939.766,0.28,0.29,1.94,0.302,0.0069999999999999,0
26.927,56.95,9,400,12977,19900,939.766,0.3,0.31,2.07,0.3229999999999999,0.0069999999999999,0
26.93,57.07,0,400,12981,19909,939.768,0.31,0.33,2.17,0.3379999999999999,0.008,0
26.932,57.15,13,400,12979,19906,939.769,0.33,0.35,2.29,0.358,0.008,0
26.934,57.27,1,400,12983,19906,939.767,0.34,0.35,2.33,0.363,0.008,0
26.936,57.35,14,400,12979,19901,939.764,0.34,0.35,2.32,0.361,0.008,0
26.938,57.44,14,400,12980,19904,939.766,0.33,0.34,2.28,0.355,0.008,0
26.94,57.51,10,400,12979,19905,939.755,0.33,0.34,2.25,0.351,0.008,0
26.942,57.83,0,400,13000,19934,939.76,0.36,0.38,2.5,0.389,0.009,0
26.945,57.5,0,400,13006,19932,939.754,0.37,0.39,2.57,0.4,0.009,0
26.947,56.85,0,400,13007,19942,939.746,0.38,0.4,2.65,0.413,0.009,0
26.949,55.53,0,400,13006,19936,939.756,0.38,0.4,2.65,0.413,0.009,0
26.951,54.87,0,400,13005,19925,939.754,0.37,0.38,2.55,0.3979999999999999,0.009,0
26.953000000000003,54.29,0,400,12996,19925,939.745,0.36,0.37,2.48,0.386,0.009,0
26.955,53.4,0,400,13003,19934,939.746,0.36,0.37,2.46,0.3829999999999999,0.009,0
26.957,53.03,0,400,13001,19926,939.742,0.34,0.35,2.34,0.365,0.008,0
26.959,52.67,2,400,12998,19931,939.738,0.33,0.34,2.26,0.353,0.008,0
26.961,52.32,0,400,12995,19936,939.742,0.3,0.32,2.09,0.326,0.0069999999999999,0
26.963,52.06,1,400,12997,19927,939.739,0.3,0.31,2.04,0.319,0.0069999999999999,0
26.965,51.85,3,400,12995,19926,939.748,0.28,0.29,1.93,0.3,0.0069999999999999,0
26.967,51.65,4,400,12995,19925,939.719,0.27,0.28,1.85,0.289,0.0069999999999999,0
27.051,52.72,10,400,13011,19924,939.752,0.3,0.31,2.07,0.3229999999999999,0.0069999999999999,0
27.053,52.36,3,400,13020,19934,939.751,0.3,0.32,2.09,0.326,0.0069999999999999,0
27.054,52.07,0,400,13015,19930,939.746,0.3,0.31,2.05,0.32,0.0069999999999999,0
27.055,51.82,0,400,13022,19939,939.748,0.29,0.3,2.01,0.313,0.0069999999999999,0
27.056,51.59,0,400,13017,19930,939.761,0.27,0.29,1.89,0.295,0.0069999999999999,0
27.07,50.1,0,400,13019,19949,939.759,0.28,0.29,1.91,0.298,0.0069999999999999,0
27.071,50.03,8,400,13015,19926,939.755,0.3,0.31,2.09,0.325,0.0069999999999999,0
27.072,49.97,7,400,13013,19925,939.755,0.31,0.32,2.12,0.33,0.0069999999999999,0
27.073,49.92,2,400,13017,19933,939.745,0.31,0.32,2.12,0.331,0.0069999999999999,0
27.074,49.89,11,400,13018,19929,939.745,0.3,0.31,2.07,0.322,0.0069999999999999,0
27.075,49.66,27,400,12999,19908,939.754,0.29,0.3,2.02,0.315,0.0069999999999999,0
27.076,49.97,33,400,12999,19906,939.749,0.27,0.29,1.89,0.295,0.0069999999999999,0
27.118,51.87,22,400,13013,19914,939.747,0.28,0.29,1.9,0.297,0.0069999999999999,0
